Wavelength	Flux	BestFit	SkyFlux
4298.332	10.704	8.680	30.867
4299.322	9.137	8.800	27.553
4300.312	7.115	8.944	25.052
4301.303	8.637	8.991	24.216
4302.293	11.311	9.050	24.955
4303.284	9.479	9.158	26.017
4304.275	9.966	9.191	26.102
4305.266	10.761	9.153	26.068
4306.258	11.085	9.054	26.552
4307.249	10.210	8.899	26.288
4308.241	10.546	8.795	24.854
4309.233	10.973	8.707	23.805
4310.226	7.566	8.676	23.511
4311.218	11.334	8.636	24.388
4312.211	9.700	8.596	26.225
4313.204	6.785	8.628	28.562
4314.197	10.652	8.666	30.754
4315.191	8.309	8.716	34.186
4316.184	8.603	8.764	37.863
4317.178	11.192	8.772	40.797
4318.173	11.186	8.728	42.079
4319.167	7.888	8.668	42.276
4320.162	6.362	8.648	41.394
4321.157	7.228	8.710	41.082
4322.152	7.361	8.848	39.817
4323.147	12.528	9.004	36.960
4324.143	7.132	9.133	33.616
4325.138	8.961	9.215	30.169
4326.134	8.669	9.217	27.678
4327.131	10.540	9.074	28.821
4328.127	7.778	8.881	32.503
4329.124	9.302	8.666	36.389
4330.121	9.616	8.436	38.725
4331.118	7.529	8.234	38.768
4332.115	6.505	8.132	38.228
4333.113	6.805	8.123	38.226
4334.111	9.941	8.191	38.592
4335.109	10.509	8.323	39.580
4336.107	7.454	8.524	38.736
4337.106	11.214	8.745	37.079
4338.104	8.670	8.812	35.159
4339.103	9.435	8.895	31.986
4340.103	10.985	8.851	28.709
4341.102	8.187	8.762	26.843
4342.102	7.902	8.750	27.143
4343.102	9.484	8.781	29.963
4344.102	7.465	8.682	32.924
4345.102	6.201	8.648	34.976
4346.103	9.604	8.589	36.624
4347.104	8.746	8.467	37.803
4348.105	9.687	8.351	38.656
4349.106	6.099	8.297	39.106
4350.108	6.787	8.196	39.357
4351.109	8.754	8.204	37.357
4352.111	8.264	8.299	34.279
4353.114	7.345	8.388	32.328
4354.116	8.403	8.423	33.151
4355.119	10.444	8.394	35.423
4356.122	8.811	8.273	37.230
4357.125	6.142	8.103	41.819
4358.128	7.209	7.906	52.771
4359.132	6.224	7.734	63.510
